Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated
0.3125 ug/mL,0.3125,3.2399999999999998,9210.364973730819
0.3125 ug/mL,0.3125,3.27,9210.368095468233
0.3125 ug/mL,0.3125,3.3,9210.370870920762
0.3125 ug/mL,0.3125,3.33,9210.373338500738
0.3125 ug/mL,0.3125,3.36,9210.375532359532
0.3125 ug/mL,0.3125,3.3899999999999997,9210.377482860209
0.3125 ug/mL,0.3125,3.42,9210.379216997746
0.3125 ug/mL,0.3125,3.4499999999999997,9210.380758772651
0.3125 ug/mL,0.3125,3.48,9210.382129523132
0.3125 ug/mL,0.3125,3.51,9210.383348220408
0.3125 ug/mL,0.3125,3.54,9210.384431731281
0.3125 ug/mL,0.3125,3.57,9210.385395051573
0.3125 ug/mL,0.3125,3.5999999999999996,9210.386251513659
0.3125 ug/mL,0.3125,3.63,9210.387012970998
0.3125 ug/mL,0.3125,3.6599999999999997,9210.387689962176
0.3125 ug/mL,0.3125,3.69,9210.38829185677
0.3125 ug/mL,0.3125,3.7199999999999998,9210.38882698502
0.3125 ug/mL,0.3125,3.75,9210.38930275311
0.3125 ug/mL,0.3125,3.78,9210.389725745688
0.3125 ug/mL,0.3125,3.81,9210.390101816976
0.3125 ug/mL,0.3125,3.84,9210.390436171816
0.3125 ug/mL,0.3125,3.8699999999999997,9210.390733437684
0.3125 ug/mL,0.3125,3.9,9210.390997728748
0.3125 ug/mL,0.3125,3.9299999999999997,9210.391232702805
0.3125 ug/mL,0.3125,3.96,9210.3914416119
0.3125 ug/mL,0.3125,3.9899999999999998,9210.391627347342
0.3125 ug/mL,0.3125,4.02,9210.391792479713
0.3125 ug/mL,0.3125,4.05,9210.391939294448
0.3125 ug/mL,0.3125,4.08,9210.39206982347
0.3125 ug/mL,0.3125,4.109999999999999,9210.392185873305
0.3125 ug/mL,0.3125,4.14,9210.39228905008
0.3125 ug/mL,0.3125,4.17,9210.392380781766
0.3125 ug/mL,0.3125,4.2,9210.392462337937
0.3125 ug/mL,0.3125,4.2299999999999995,9210.392534847326
0.3125 ug/mL,0.3125,4.26,9210.392599313469
0.3125 ug/mL,0.3125,4.29,9210.392656628579
0.3125 ug/mL,0.3125,4.32,9210.392707585896
0.3125 ug/mL,0.3125,4.35,9210.392752890672
0.3125 ug/mL,0.3125,4.38,9210.392793169927
0.3125 ug/mL,0.3125,4.41,9210.392828981125
0.3125 ug/mL,0.3125,4.4399999999999995,9210.392860819895
0.3125 ug/mL,0.3125,4.47,9210.392889126886
0.3125 ug/mL,0.3125,4.5,9210.39291429387
0.3125 ug/mL,0.3125,4.53,9210.392936669155
0.3125 ug/mL,0.3125,4.56,9210.39295656242
0.3125 ug/mL,0.3125,4.59,9210.392974248984
0.3125 ug/mL,0.3125,4.62,9210.39298997363
0.3125 ug/mL,0.3125,4.6499999999999995,9210.393003953988
0.3125 ug/mL,0.3125,4.68,9210.393016383548
0.3125 ug/mL,0.3125,4.71,9210.393027434335
0.3125 ug/mL,0.3125,4.74,9210.393037259293
0.3125 ug/mL,0.3125,4.77,9210.393045994395
0.3125 ug/mL,0.3125,4.8,9210.393053760541
0.3125 ug/mL,0.3125,4.83,9210.39306066521
0.3125 ug/mL,0.3125,4.859999999999999,9210.393066803967
0.3125 ug/mL,0.3125,4.89,9210.39307226177
0.3125 ug/mL,0.3125,4.92,9210.393077114153
0.3125 ug/mL,0.3125,4.95,9210.393081428278
0.3125 ug/mL,0.3125,4.9799999999999995,9210.39308526385
0.3125 ug/mL,0.3125,5.01,9210.393088673953
