Concentration,Concentration [ug/mL],F0,Fmax,k,Vmax,Km,R_squared,Equation
0.3125 ug/mL,0.3125,3.431246487127998,9210.393116005725,3.919196786999631,9206.961869518598,0.25515432226243406,0.9949858740631546,F(t) = 3.43 + (9206.96) * [1 - exp(-3.9192*t)]
0.625 ug/mL,0.625,-0.1888987942059047,11015.275386672893,8.89068412985934,11015.464285467098,0.11247728356938277,0.9977914411857469,F(t) = -0.19 + (11015.46) * [1 - exp(-8.8907*t)]
1.25 ug/mL,1.25,0.04624587201315482,13719.837682742722,11.448985060394156,13719.791436870708,0.08734398680100756,0.999388245864485,F(t) = 0.05 + (13719.79) * [1 - exp(-11.4490*t)]
2.5 ug/mL,2.5,-0.6405682732672575,14820.395082337538,6.378300154646692,14821.035650610806,0.15678158376906803,0.997269440491567,F(t) = -0.64 + (14821.04) * [1 - exp(-6.3783*t)]
5.0 ug/mL,5.0,-1.1053292028222006,16015.111250576145,8.12966317384124,16016.216579778968,0.1230063261683083,0.996585534489863,F(t) = -1.11 + (16016.22) * [1 - exp(-8.1297*t)]
